,datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,count,date,time,year,month,day,weekday
0,2011-01-01 00:00:00,1,0,0,1,9.84,14.395,81,0.0,16,2011-01-01,0,2011,1,1,5
1,2011-01-01 01:00:00,1,0,0,1,9.02,13.635,80,0.0,40,2011-01-01,1,2011,1,1,5
2,2011-01-01 02:00:00,1,0,0,1,9.02,13.635,80,0.0,32,2011-01-01,2,2011,1,1,5
3,2011-01-01 03:00:00,1,0,0,1,9.84,14.395,75,0.0,13,2011-01-01,3,2011,1,1,5
4,2011-01-01 04:00:00,1,0,0,1,9.84,14.395,75,0.0,1,2011-01-01,4,2011,1,1,5
5,2011-01-01 05:00:00,1,0,0,2,9.84,12.88,75,6.0032,1,2011-01-01,5,2011,1,1,5
6,2011-01-01 06:00:00,1,0,0,1,9.02,13.635,80,0.0,2,2011-01-01,6,2011,1,1,5
7,2011-01-01 07:00:00,1,0,0,1,8.2,12.88,86,0.0,3,2011-01-01,7,2011,1,1,5
8,2011-01-01 08:00:00,1,0,0,1,9.84,14.395,75,0.0,8,2011-01-01,8,2011,1,1,5
9,2011-01-01 09:00:00,1,0,0,1,13.12,17.425,76,0.0,14,2011-01-01,9,2011,1,1,5
10,2011-01-01 10:00:00,1,0,0,1,15.58,19.695,76,16.9979,36,2011-01-01,10,2011,1,1,5
11,2011-01-01 11:00:00,1,0,0,1,14.76,16.665,81,19.0012,56,2011-01-01,11,2011,1,1,5
12,2011-01-01 12:00:00,1,0,0,1,17.22,21.21,77,19.0012,84,2011-01-01,12,2011,1,1,5
13,2011-01-01 13:00:00,1,0,0,2,18.86,22.725,72,19.9995,94,2011-01-01,13,2011,1,1,5
14,2011-01-01 14:00:00,1,0,0,2,18.86,22.725,72,19.0012,106,2011-01-01,14,2011,1,1,5
15,2011-01-01 15:00:00,1,0,0,2,18.04,21.97,77,19.9995,110,2011-01-01,15,2011,1,1,5
16,2011-01-01 16:00:00,1,0,0,2,17.22,21.21,82,19.9995,93,2011-01-01,16,2011,1,1,5
17,2011-01-01 17:00:00,1,0,0,2,18.04,21.97,82,19.0012,67,2011-01-01,17,2011,1,1,5
18,2011-01-01 18:00:00,1,0,0,3,17.22,21.21,88,16.9979,35,2011-01-01,18,2011,1,1,5
19,2011-01-01 19:00:00,1,0,0,3,17.22,21.21,88,16.9979,37,2011-01-01,19,2011,1,1,5
20,2011-01-01 20:00:00,1,0,0,2,16.4,20.455,87,16.9979,36,2011-01-01,20,2011,1,1,5
21,2011-01-01 21:00:00,1,0,0,2,16.4,20.455,87,12.998,34,2011-01-01,21,2011,1,1,5
22,2011-01-01 22:00:00,1,0,0,2,16.4,20.455,94,15.0013,28,2011-01-01,22,2011,1,1,5
23,2011-01-01 23:00:00,1,0,0,2,18.86,22.725,88,19.9995,39,2011-01-01,23,2011,1,1,5
24,2011-01-02 00:00:00,1,0,0,2,18.86,22.725,88,19.9995,17,2011-01-02,0,2011,1,2,6
25,2011-01-02 01:00:00,1,0,0,2,18.04,21.97,94,16.9979,17,2011-01-02,1,2011,1,2,6
26,2011-01-02 02:00:00,1,0,0,2,17.22,21.21,100,19.0012,9,2011-01-02,2,2011,1,2,6
27,2011-01-02 03:00:00,1,0,0,2,18.86,22.725,94,12.998,6,2011-01-02,3,2011,1,2,6
28,2011-01-02 04:00:00,1,0,0,2,18.86,22.725,94,12.998,3,2011-01-02,4,2011,1,2,6
29,2011-01-02 06:00:00,1,0,0,3,17.22,21.21,77,19.9995,2,2011-01-02,6,2011,1,2,6
30,2011-01-02 07:00:00,1,0,0,2,16.4,20.455,76,12.998,1,2011-01-02,7,2011,1,2,6
31,2011-01-02 08:00:00,1,0,0,3,16.4,20.455,71,15.0013,8,2011-01-02,8,2011,1,2,6
32,2011-01-02 09:00:00,1,0,0,2,15.58,19.695,76,15.0013,20,2011-01-02,9,2011,1,2,6
33,2011-01-02 10:00:00,1,0,0,2,14.76,17.425,81,15.0013,53,2011-01-02,10,2011,1,2,6
34,2011-01-02 11:00:00,1,0,0,2,14.76,16.665,71,16.9979,70,2011-01-02,11,2011,1,2,6
35,2011-01-02 12:00:00,1,0,0,2,14.76,16.665,66,19.9995,93,2011-01-02,12,2011,1,2,6
36,2011-01-02 13:00:00,1,0,0,2,14.76,17.425,66,8.9981,75,2011-01-02,13,2011,1,2,6
37,2011-01-02 14:00:00,1,0,0,3,14.76,17.425,76,12.998,59,2011-01-02,14,2011,1,2,6
38,2011-01-02 15:00:00,1,0,0,3,13.94,16.665,81,11.0014,74,2011-01-02,15,2011,1,2,6
39,2011-01-02 16:00:00,1,0,0,3,13.94,16.665,71,11.0014,76,2011-01-02,16,2011,1,2,6
40,2011-01-02 17:00:00,1,0,0,1,13.94,16.665,57,12.998,65,2011-01-02,17,2011,1,2,6
41,2011-01-02 18:00:00,1,0,0,2,14.76,16.665,46,22.0028,53,2011-01-02,18,2011,1,2,6
42,2011-01-02 19:00:00,1,0,0,1,13.12,14.395,42,30.0026,30,2011-01-02,19,2011,1,2,6
43,2011-01-02 20:00:00,1,0,0,1,12.3,13.635,39,23.9994,22,2011-01-02,20,2011,1,2,6
44,2011-01-02 21:00:00,1,0,0,1,10.66,11.365,44,22.0028,31,2011-01-02,21,2011,1,2,6
45,2011-01-02 22:00:00,1,0,0,1,9.84,10.605,44,19.9995,9,2011-01-02,22,2011,1,2,6
46,2011-01-02 23:00:00,1,0,0,1,9.02,11.365,47,11.0014,8,2011-01-02,23,2011,1,2,6
47,2011-01-03 00:00:00,1,0,1,1,9.02,9.85,44,23.9994,5,2011-01-03,0,2011,1,3,0
48,2011-01-03 01:00:00,1,0,1,1,8.2,8.335,44,27.9993,2,2011-01-03,1,2011,1,3,0
49,2011-01-03 04:00:00,1,0,1,1,6.56,6.82,47,26.0027,1,2011-01-03,4,2011,1,3,0
50,2011-01-03 05:00:00,1,0,1,1,6.56,6.82,47,19.0012,3,2011-01-03,5,2011,1,3,0
51,2011-01-03 06:00:00,1,0,1,1,5.74,5.305,50,26.0027,30,2011-01-03,6,2011,1,3,0
52,2011-01-03 07:00:00,1,0,1,1,5.74,6.82,50,12.998,64,2011-01-03,7,2011,1,3,0
53,2011-01-03 08:00:00,1,0,1,1,5.74,6.06,50,19.0012,154,2011-01-03,8,2011,1,3,0
54,2011-01-03 09:00:00,1,0,1,1,6.56,6.82,43,26.0027,88,2011-01-03,9,2011,1,3,0
55,2011-01-03 10:00:00,1,0,1,1,7.38,8.335,43,16.9979,44,2011-01-03,10,2011,1,3,0
56,2011-01-03 11:00:00,1,0,1,1,8.2,9.09,40,22.0028,51,2011-01-03,11,2011,1,3,0
57,2011-01-03 12:00:00,1,0,1,1,9.02,10.605,35,19.9995,61,2011-01-03,12,2011,1,3,0
